Q1,Q2,Q3,Q4,Q5
34.0,5.0,10.0,4.0,20.0
30.0,5.0,10.0,18.0,12.0
24.0,5.0,10.0,0.0,20.0
34.0,5.0,10.0,16.0,20.0
24.0,0.0,0.0,18.0,6.0
34.0,2.0,10.0,0.0,12.0
38.0,7.0,10.0,2.0,20.0
30.0,5.0,2.0,4.0,10.0
28.0,10.0,10.0,3.0,20.0
26.0,0.0,10.0,0.0,0.0
36.0,7.0,10.0,2.0,4.0
6.0,0.0,0.0,0.0,0.0
28.0,7.0,10.0,8.0,20.0
30.0,7.0,10.0,14.0,12.0
36.0,10.0,10.0,9.0,20.0
32.0,1.0,10.0,9.0,18.0
30.0,5.0,10.0,14.0,10.0
32.0,8.0,10.0,16.0,12.0
32.0,1.0,10.0,2.0,2.0
36.0,5.0,10.0,20.0,12.0
38.0,5.0,10.0,8.0,10.0
34.0,5.0,10.0,16.0,20.0
32.0,5.0,0.0,5.0,10.0
22.0,4.0,10.0,8.0,12.0
32.0,3.0,10.0,7.0,20.0
30.0,1.0,10.0,14.0,12.0
24.0,6.0,7.0,2.0,4.0
32.0,3.0,10.0,2.0,4.0
34.0,10.0,10.0,16.0,20.0
24.0,7.0,10.0,2.0,4.0
20.0,1.0,10.0,2.0,2.0
24.0,5.0,10.0,4.0,8.0
32.0,6.0,10.0,3.0,8.0
26.0,10.0,10.0,2.0,12.0
32.0,5.0,10.0,2.0,20.0
26.0,5.0,7.0,4.0,12.0
28.0,5.0,10.0,7.0,16.0
24.0,7.0,10.0,15.0,16.0
24.0,3.0,10.0,4.0,20.0
24.0,10.0,10.0,5.0,12.0
14.0,0.0,3.0,0.0,8.0
26.0,5.0,10.0,10.0,0.0
28.0,5.0,10.0,4.0,8.0
28.0,0.0,10.0,0.0,20.0
26.0,1.0,10.0,18.0,8.0
30.0,7.0,10.0,18.0,16.0
16.0,1.0,10.0,0.0,14.0
32.0,4.0,6.0,2.0,20.0
38.0,10.0,10.0,6.0,20.0
22.0,1.0,10.0,0.0,4.0
26.0,1.0,10.0,2.0,4.0
26.0,0.0,10.0,2.0,0.0
36.0,1.0,10.0,2.0,0.0
26.0,5.0,6.0,16.0,4.0
36.0,1.0,10.0,2.0,20.0
10.0,0.0,0.0,0.0,0.0
36.0,1.0,10.0,0.0,16.0
30.0,1.0,10.0,17.0,6.0
24.0,2.0,6.0,0.0,18.0
34.0,2.0,10.0,17.0,12.0
12.0,0.0,0.0,0.0,0.0
28.0,5.0,10.0,4.0,6.0
18.0,1.0,0.0,0.0,2.0
26.0,1.0,10.0,0.0,0.0
18.0,1.0,10.0,0.0,4.0
18.0,1.0,6.0,0.0,8.0
18.0,1.0,2.0,0.0,0.0
22.0,7.0,10.0,4.0,4.0
20.0,2.0,10.0,0.0,4.0
22.0,0.0,10.0,2.0,12.0
40.0,3.0,10.0,20.0,20.0
30.0,1.0,10.0,6.0,20.0
32.0,6.0,10.0,6.0,16.0
32.0,10.0,10.0,16.0,20.0
12.0,0.0,2.0,2.0,1.0
10.0,0.0,0.0,0.0,0.0
